RefNames,DatasetRefNames,RefValues,PBE0,B3LYP
TAE_W4-17_56,TAE_W4-17,181.4399998,221.566228,221.7724285
TAE_W4-17_57,TAE_W4-17,190.7400001,210.0220426,210.4150228
TAE_W4-17_58,TAE_W4-17,359.9200002,450.4064656,441.5710104
TAE_W4-17_59,TAE_W4-17,446.0799998,540.2138535,529.1793619
TAE_W4-17_60,TAE_W4-17,402.8380001,448.4013501,438.8732658
TAE_W4-17_61,TAE_W4-17,437.9350001,481.4891734,475.3093222
TAE_W4-17_62,TAE_W4-17,439.4500001,553.9333883,545.9588867
TAE_W4-17_63,TAE_W4-17,482.2400001,600.8783042,591.7841268
TAE_W4-17_64,TAE_W4-17,307.8699998,353.6431924,350.9584552
TAE_W4-17_65,TAE_W4-17,422.9599998,466.1077165,463.0758107
TAE_W4-17_66,TAE_W4-17,474.6000002,593.0731224,584.2718169
TAE_W4-17_67,TAE_W4-17,582.26,696.2932854,688.4976025
TAE_W4-17_68,TAE_W4-17,539.3029997,625.1767724,618.3895308
TAE_W4-17_69,TAE_W4-17,420.4400002,462.9730806,461.9666979
TAE_W4-17_70,TAE_W4-17,459.5639998,503.9529823,493.73427
TAE_W4-17_71,TAE_W4-17,529.0190001,627.7235156,598.871493
TAE_W4-17_72,TAE_W4-17,59.7500001,59.800157,55.59515002
TAE_W4-17_73,TAE_W4-17,101.43,168.8964105,160.1845777
TAE_W4-17_74,TAE_W4-17,285.42,402.3634439,386.978242
TAE_W4-17_75,TAE_W4-17,383.3780003,500.7646932,481.6493244
TAE_W4-17_76,TAE_W4-17,62.80000007,61.12918666,60.76131452
TAE_W4-17_77,TAE_W4-17,128.5470001,130.6441611,128.3966246
TAE_W4-17_78,TAE_W4-17,186.7940001,189.8903062,182.7329794
TAE_W4-17_79,TAE_W4-17,191.9580001,331.9749213,320.2081708
TAE_W4-17_80,TAE_W4-17,65.44000009,136.3954375,129.842105
TAE_W4-17_81,TAE_W4-17,169.8359999,380.093073,353.8214446
TAE_W4-17_83,TAE_W4-17,149.125,286.1585405,271.9611515
TAE_W4-17_84,TAE_W4-17,181.36,293.57898,283.4332685
TAE_W4-17_85,TAE_W4-17,259.7299999,369.6651186,359.7060185
TAE_W4-17_86,TAE_W4-17,390.1400003,574.6724762,555.5888785
TAE_W4-17_87,TAE_W4-17,172.2100001,256.0989473,245.4564883
TAE_W4-17_88,TAE_W4-17,280.7600002,414.6744388,394.1907839
TAE_W4-17_89,TAE_W4-17,820.8379999,1006.914999,974.792696
TAE_W4-17_90,TAE_W4-17,1150.396,1337.290594,1305.492295
TAE_W4-17_91,TAE_W4-17,1001.542,1190.476516,1158.035204
TAE_W4-17_92,TAE_W4-17,1181.901,1419.258483,1377.37922
TAE_W4-17_93,TAE_W4-17,853.9680002,995.1528025,972.4719253
TAE_W4-17_94,TAE_W4-17,681.9399998,824.4028617,801.4606302
TAE_W4-17_95,TAE_W4-17,737.7180003,883.4763792,859.1879854
TAE_W4-17_96,TAE_W4-17,753.1170003,1054.94112,1016.931851
TAE_W4-17_97,TAE_W4-17,750.0019998,979.69908,951.7229613
TAE_W4-17_98,TAE_W4-17,410.01,591.3355621,573.2748353
TAE_W4-17_99,TAE_W4-17,684.3909997,863.5680076,830.0330472
TAE_W4-17_100,TAE_W4-17,811.2000001,968.2763176,952.1408999
TAE_W4-17_101,TAE_W4-17,39.0499999,34.46597075,36.85529746
TAE_W4-17_102,TAE_W4-17,420.61,536.4652347,519.7801272
TAE_W4-17_103,TAE_W4-17,93.78000017,160.4268301,156.9844965
TAE_W4-17_104,TAE_W4-17,386.0600001,482.0226123,465.1996708
TAE_W4-17_105,TAE_W4-17,215.4269998,354.0151239,343.8819068
TAE_W4-17_106,TAE_W4-17,134.6900001,271.9210952,263.085787
TAE_W4-17_107,TAE_W4-17,152.3399997,288.0510054,280.5254115
TAE_W4-17_108,TAE_W4-17,568.1500001,754.2820908,738.0109555
TAE_W4-17_109,TAE_W4-17,501.8700002,683.6696359,666.568195
TAE_W4-17_110,TAE_W4-17,757.0070001,1056.111379,1023.760442
TAE_W4-17_111,TAE_W4-17,995.1250002,1255.600758,1214.925131
TAE_W4-17_112,TAE_W4-17,635.0500003,863.5603815,839.480619
TAE_W4-17_113,TAE_W4-17,109.4999998,104.4196242,110.3266408
TAE_W4-17_114,TAE_W4-17,512.6540002,678.9495096,661.240328
TAE_W4-17_115,TAE_W4-17,343.71,461.8913556,452.8840757
TAE_W4-17_116,TAE_W4-17,374.6500002,486.5861089,477.9817978
TAE_W4-17_117,TAE_W4-17,274.9699998,417.9213683,409.0527228
TAE_W4-17_118,TAE_W4-17,232.9799997,296.1124681,294.5661855
TAE_W4-17_119,TAE_W4-17,183.9100001,222.8801714,220.5570238
TAE_W4-17_120,TAE_W4-17,398.4500003,491.3135083,477.8328183
TAE_W4-17_121,TAE_W4-17,107.49,105.0438297,105.1587069
TAE_W4-17_122,TAE_W4-17,335.4119999,609.1557101,572.5214291
TAE_W4-17_123,TAE_W4-17,313.4200001,425.9126372,417.3702378
TAE_W4-17_124,TAE_W4-17,336.2099999,454.5492568,445.4213655
TAE_W4-17_125,TAE_W4-17,364.91,554.3750529,536.7808599
TAE_W4-17_126,TAE_W4-17,279.4299999,394.7559794,384.8521972
TAE_W4-17_127,TAE_W4-17,403.7199997,517.5733121,505.4039759
TAE_W4-17_128,TAE_W4-17,141.6399999,136.9184641,139.2960146
TAE_W4-17_129,TAE_W4-17,298.1800002,412.3367889,403.539482
TAE_W4-17_130,TAE_W4-17,434.6799999,623.329103,605.5954154
TAE_W4-17_131,TAE_W4-17,331.7199998,547.7846205,531.5715973
TAE_W4-17_132,TAE_W4-17,205.9000001,341.4078594,333.1308027
TAE_W4-17_133,TAE_W4-17,166.2299999,231.9941885,226.5758219
TAE_W4-17_134,TAE_W4-17,204.289,340.2100256,327.3940551
TAE_W4-17_135,TAE_W4-17,273.1770001,478.304543,454.9708249
TAE_W4-17_136,TAE_W4-17,410.0199999,594.2032864,576.9607873
TAE_W4-17_137,TAE_W4-17,158.6599999,222.8894168,220.7777727
TAE_W4-17_138,TAE_W4-17,350.1100001,535.3725356,518.3814748
TAE_W4-17_139,TAE_W4-17,175.5400002,313.9181501,304.8411967
TAE_W4-17_140,TAE_W4-17,269.0800001,401.1442462,394.1386244
TAE_W4-17_141,TAE_W4-17,87.73000016,129.6600415,126.6059541
TAE_W4-17_142,TAE_W4-17,533.4399999,697.4647696,679.106354
TAE_W4-17_143,TAE_W4-17,513.4699998,624.1442677,616.1181241
TAE_W4-17_144,TAE_W4-17,1302.63,1484.470618,1458.922549
TAE_W4-17_145,TAE_W4-17,1597.309,1825.369563,1791.566639
TAE_W4-17_146,TAE_W4-17,228.4800003,364.6207759,355.9211775
TAE_W4-17_147,TAE_W4-17,224.8200001,367.6158929,359.1629665
TAE_W4-17_148,TAE_W4-17,438.2400002,577.4631232,570.5657282
TAE_W4-17_149,TAE_W4-17,270.8499997,483.8245657,465.7630898
TAE_W4-17_150,TAE_W4-17,471.67,898.7805493,858.7931398
TAE_W4-17_151,TAE_W4-17,501.96,734.6337782,711.2445432
TAE_W4-17_152,TAE_W4-17,83.08999969,99.26918259,101.0888511
TAE_W4-17_153,TAE_W4-17,182.5799998,252.816849,251.233014
TAE_W4-17_154,TAE_W4-17,248.0399999,317.2263063,311.8083688
TAE_W4-17_155,TAE_W4-17,256.4699997,324.8015244,322.8977545
TAE_W4-17_156,TAE_W4-17,359.723,495.4520224,488.4650183
TAE_W4-17_157,TAE_W4-17,298.0099999,364.7517847,364.316066
TAE_W4-17_158,TAE_W4-17,152.7499997,291.8588467,281.7980498
TAE_W4-17_159,TAE_W4-17,227.87,441.3825648,422.9661873
TAE_W4-17_160,TAE_W4-17,120.8199999,221.4497207,212.2917663
TAE_W4-17_161,TAE_W4-17,147.4299997,345.9227604,330.8783066
TAE_W4-17_162,TAE_W4-17,128.0899998,268.6457782,253.0361025
TAE_W4-17_163,TAE_W4-17,335.7300001,495.439507,475.7861901
TAE_W4-17_164,TAE_W4-17,53.06999988,123.0797271,118.9420239
TAE_W4-17_165,TAE_W4-17,107.1999999,174.6959804,171.7599769
TAE_W4-17_166,TAE_W4-17,706.0690003,1015.43398,977.8895089
TAE_W4-17_167,TAE_W4-17,948.139,1156.543451,1127.388097
TAE_W4-17_168,TAE_W4-17,651.49,813.688365,793.0844195
TAE_W4-17_169,TAE_W4-17,456.0300002,617.4007124,597.6947305
TAE_W4-17_170,TAE_W4-17,117.6100002,199.1948094,191.5978247
TAE_W4-17_171,TAE_W4-17,290.5700003,468.9849688,430.833023
TAE_W4-17_172,TAE_W4-17,365.5989999,400.1304073,396.4823633
TAE_W4-17_173,TAE_W4-17,561.5649997,587.6754352,577.8180525
TAE_W4-17_174,TAE_W4-17,242.27,281.3140687,282.6795496
TAE_W4-17_175,TAE_W4-17,1007.89,1143.507494,1126.249803
TAE_W4-17_176,TAE_W4-17,861.5500001,998.9221165,981.4782734
TAE_W4-17_177,TAE_W4-17,705.5700001,843.4431034,825.3208048
TAE_W4-17_178,TAE_W4-17,1072.798,1337.537854,1296.15632
TAE_W4-17_179,TAE_W4-17,104.2499998,168.0551237,157.6102621
TAE_W4-17_180,TAE_W4-17,208.7499997,359.4455161,340.9497603
TAE_W4-17_181,TAE_W4-17,168.3500002,295.0552746,274.8924989
TAE_W4-17_182,TAE_W4-17,234.33,402.4211199,373.2576423
TAE_W4-17_183,TAE_W4-17,485.4249998,516.5002219,496.0879361
TAE_W4-17_184,TAE_W4-17,535.8800003,582.980081,581.9792879
TAE_W4-17_185,TAE_W4-17,142.72,168.782016,166.9025295
TAE_W4-17_186,TAE_W4-17,577.7599999,586.0937214,582.9321891
TAE_W4-17_187,TAE_W4-17,73.92999982,101.2877395,100.341979
TAE_W4-17_188,TAE_W4-17,382.74,400.7038454,403.6355262
TAE_W4-17_189,TAE_W4-17,324.9499998,345.4604284,349.4781609
TAE_W4-17_190,TAE_W4-17,1100.905,1314.275301,1277.910664
TAE_W4-17_191,TAE_W4-17,193.04,281.8736728,276.8877657
TAE_W4-17_192,TAE_W4-17,126.47,208.0736171,200.3103834
TAE_W4-17_193,TAE_W4-17,260.5799998,434.4151068,417.3446521
TAE_W4-17_194,TAE_W4-17,346.8899998,590.2993754,562.4907807
TAE_W4-17_195,TAE_W4-17,165.1399999,251.969227,240.2120601
TAE_W4-17_196,TAE_W4-17,1013.069,1198.96328,1173.382886
TAE_W4-17_197,TAE_W4-17,322.4600001,433.7805812,425.4996329
TAE_W4-17_198,TAE_W4-17,312.6100001,519.6246361,503.7398628
TAE_W4-17_199,TAE_W4-17,233.2699999,438.6770133,425.276963
TAE_W4-17_200,TAE_W4-17,296.4899999,435.1343959,427.7579574
TAE_W4-17_201,TAE_W4-17,793.4889997,992.4237874,950.4156278
TAE_W4-17_202,TAE_W4-17,964.9869998,1200.101268,1156.257329
TAE_W4-17_203,TAE_W4-17,529.3899997,628.3138741,599.5938434
BDE99_1,BDE99,-17.64998594,-16.12991022,-17.43962445
BDE99_2,BDE99,-46.21996317,-41.8915512,-42.64136371
BDE99_3,BDE99,-62.66995006,-132.2503407,-123.1939975
BDE99_6,BDE99,-81.64993494,-148.8413681,-144.1437631
BDE99_7,BDE99,-13.89998892,-50.47137442,-50.79402069
BDE99_8,BDE99,-36.00997131,-32.50097303,-30.34247268
BDE99_9,BDE99,-40.69996757,-37.34710301,-38.04247267
BDE99_10,BDE99,-100.7799197,-95.59875098,-96.73371685
BDE99_11,BDE99,-59.01995297,-57.29820812,-54.81584496
BDE99_12,BDE99,-105.5799159,-99.8096897,-101.8357488
BDE99_13,BDE99,-51.449959,-48.19343642,-49.01779577
BDE99_14,BDE99,-75.13994013,-149.5237181,-141.1681375
BDE99_15,BDE99,-118.0999059,-191.965719,-183.96504
BDE99_16,BDE99,-42.35996625,-119.2037898,-109.8419123
BDE99_17,BDE99,-84.76993246,-78.24207123,-80.77367545
BDE99_18,BDE99,-52.69995801,-53.06980899,-50.18183607
BDE99_19,BDE99,-116.8499069,-118.7578089,-120.1062134
BDE99_20,BDE99,-215.1098286,-313.0676063,-302.4506308
BDE99_21,BDE99,-61.58995093,-67.09757532,-63.1882294
BDE99_22,BDE99,-91.90992677,-154.3948018,-144.8005458
BDE99_23,BDE99,-128.009898,-134.3371145,-128.6354472
BDE99_24,BDE99,-53.13995766,-49.54901267,-51.33275292
BDE99_25,BDE99,-122.7899022,-242.1386768,-232.0419516
BDE99_26,BDE99,-98.41992158,-95.80509496,-93.399692
BDE99_27,BDE99,-131.0498956,-130.9055091,-127.392293
BDE99_28,BDE99,-43.0499657,-39.0246018,-40.64743568
BDE99_29,BDE99,-115.2699082,-114.2176761,-109.9560208
BDE99_30,BDE99,-173.5298617,-247.058304,-237.5353436
BDE99_31,BDE99,-82.98993387,-117.7776084,-108.9853127
BDE99_32,BDE99,-76.25993924,-74.04842268,-69.77622458
BDE99_33,BDE99,-90.56992783,-89.21422354,-84.99320223
BDE99_34,BDE99,-161.849871,-232.8833657,-223.4721101
BDE99_35,BDE99,-124.3199009,-122.8173327,-120.5517787
BDE99_36,BDE99,-95.23992411,-91.83012947,-93.12960062
BDE99_37,BDE99,-183.9098535,-276.5640662,-267.566775
BDE99_38,BDE99,-19.68998431,-25.0908608,-25.14617872
BDE99_39,BDE99,-195.1998445,-266.5768876,-258.5048343
BDE99_40,BDE99,-108.5599135,-158.5754916,-148.7342956
BDE99_41,BDE99,-130.4098961,-205.0073576,-195.88286
BDE99_42,BDE99,-108.9399132,-138.0394126,-130.1360899
BDE99_43,BDE99,-42.82996587,-46.94491593,-45.82524002
BDE99_44,BDE99,-83.65993334,-140.1607474,-132.2245106
BDE99_45,BDE99,-35.18997196,-39.13973411,-38.3129302
BDE99_46,BDE99,-100.0299203,-95.41498114,-96.71347577
BDE99_47,BDE99,-107.6699142,-103.2201629,-104.2257856
BDE99_48,BDE99,-103.1899178,-99.38413153,-100.5375212
BDE99_49,BDE99,-168.9298654,-227.1009824,-217.9851515
BDE99_50,BDE99,-22.82998181,-28.63661954,-28.05112779
BDE99_51,BDE99,-132.0698948,-132.3336573,-133.9369692
BDE99_52,BDE99,-229.1998174,-297.7335455,-291.0228748
BDE99_53,BDE99,-139.339889,-147.4758183,-144.3780061
BDE99_54,BDE99,-96.17992336,-93.22012993,-93.95106966
BDE99_55,BDE99,-57.75995398,-124.7588632,-120.4357664
BDE99_56,BDE99,-5.269995801,-42.53131225,-41.2252198
BDE99_57,BDE99,-85.86993158,-92.75425298,-94.39865639
BDE99_58,BDE99,-26.59997881,-124.4730396,-118.5865403
BDE99_59,BDE99,-93.55992545,-87.22609604,-89.29742777
BDE99_60,BDE99,-54.66995644,-51.75228547,-50.61867062
BDE99_61,BDE99,-77.39993833,-122.3091855,-113.606106
BDE99_62,BDE99,-60.87995149,-83.91410324,-82.60179803
BDE99_63,BDE99,-68.32994555,-139.2221698,-133.0812198
BDE99_64,BDE99,-54.70995641,-92.46842941,-92.54943033
BDE99_65,BDE99,-125.7698998,-121.4164878,-122.8062085
BDE99_66,BDE99,-20.1999839,-83.89466206,-74.56156867
BDE99_67,BDE99,-73.09994175,-71.82942526,-68.09970012
BDE99_68,BDE99,-130.3398961,-236.5960307,-225.5802551
BDE99_69,BDE99,-141.769887,-268.3467103,-258.0741154
BDE99_70,BDE99,-65.46994783,-64.40945728,-60.57535479
BDE99_71,BDE99,-115.429908,-111.9349358,-113.083052
BDE99_72,BDE99,-99.49992072,-153.5476664,-150.1441629
BDE99_73,BDE99,-153.4198778,-184.5943547,-175.15251
BDE99_74,BDE99,-131.5698952,-132.7250787,-129.8737892
BDE99_75,BDE99,-107.6299142,-105.0650706,-101.3404563
BDE99_76,BDE99,-127.8098982,-125.6008753,-124.7019276
BDE99_77,BDE99,-97.33992244,-95.22446626,-91.59634725
BDE99_78,BDE99,-182.6098545,-234.2028354,-224.3250446
BDE99_79,BDE99,-86.14993136,-89.80738793,-87.60835147
BDE99_80,BDE99,-40.55996768,-45.43766769,-44.18876049
BDE99_81,BDE99,-169.1898652,-240.384423,-231.1559876
BDE99_82,BDE99,-132.3098946,-134.2386759,-133.3442579
BDE99_83,BDE99,-181.5298554,-183.1662163,-176.8108126
BDE99_84,BDE99,-139.359889,-137.7013535,-140.5020409
BDE99_85,BDE99,-237.0798111,-238.4180023,-232.2958755
BDE99_86,BDE99,-115.0899083,-112.4645241,-112.1173555
BDE99_87,BDE99,-112.5499103,-109.3298882,-111.0082427
BDE99_88,BDE99,-117.1299067,-143.6211497,-140.5434324
BDE99_89,BDE99,-106.5199151,-81.84295087,-84.06765987
BDE99_90,BDE99,-126.0598996,-123.6136689,-121.6333743
BDE99_91,BDE99,-104.0999171,-108.784464,-103.5449734
BDE99_92,BDE99,-44.44996458,-49.29374652,-39.68331323
BDE99_93,BDE99,-104.5299167,-191.3903924,-183.3394982
BDE99_94,BDE99,-82.31993441,-151.371899,-140.6393768
BDE99_95,BDE99,-86.31993122,-155.8842686,-145.1461286
BDE99_96,BDE99,-134.1598931,-226.3414897,-217.0342687
BDE99_97,BDE99,-65.97994743,-107.3658453,-98.36514337
BDE99_98,BDE99,-25.8499794,-66.31087238,-58.03711818
BDE99_99,BDE99,-55.38995587,-70.59535008,-47.63737349
HAT707_1,HAT707,26.54997884,24.45393999,27.17865908
HAT707_2,HAT707,123.9899012,120.7885539,121.8563901
HAT707_3,HAT707,48.61996126,47.07180508,48.219062
HAT707_4,HAT707,25.55997963,25.85461229,27.61621377
HAT707_5,HAT707,127.7398982,86.44708965,88.5019939
HAT707_6,HAT707,44.52996452,42.44563963,48.56597939
HAT707_7,HAT707,100.1999202,57.8477722,64.41437067
HAT707_8,HAT707,71.48994304,72.54285667,74.81623419
HAT707_9,HAT707,65.49994781,65.59972682,67.17054923
HAT707_10,HAT707,100.9399196,99.57136106,101.2535419
HAT707_11,HAT707,52.46995819,48.73512102,51.63077782
HAT707_12,HAT707,48.47996137,47.74562158,50.34286192
HAT707_13,HAT707,90.18992814,88.72502765,90.27821882
HAT707_14,HAT707,42.04996649,-31.35160781,-24.68339814
HAT707_15,HAT707,41.75996673,38.30054286,41.91787189
HAT707_16,HAT707,88.55992944,13.83873698,20.35399071
HAT707_17,HAT707,54.12995687,51.61625328,52.81795303
HAT707_18,HAT707,32.06997445,25.17226224,30.59183938
HAT707_19,HAT707,-23.95998091,-120.6636615,-109.5855699
HAT707_20,HAT707,64.83994834,55.49219052,61.91806461
HAT707_21,HAT707,-35.0099721,-92.69653645,-82.87618887
HAT707_22,HAT707,0.449999641,-3.520796324,1.150916848
HAT707_23,HAT707,-54.01995696,-106.4373033,-97.80981499
HAT707_24,HAT707,-72.21994246,-129.303941,-119.6543671
HAT707_25,HAT707,-144.6298848,-153.7421518,-146.1172497
HAT707_26,HAT707,-14.10998876,-22.72048539,-16.46520072
HAT707_27,HAT707,-15.58998758,-67.44269641,-60.28197468
HAT707_28,HAT707,-69.6499445,-192.5896641,-180.7091987
HAT707_29,HAT707,-45.53996371,-117.1628663,-110.0380729
HAT707_30,HAT707,56.65995485,52.07145378,59.05584781
HAT707_31,HAT707,19.77998424,15.25453603,23.83064767
HAT707_32,HAT707,14.12998874,13.52479327,17.60855071
HAT707_33,HAT707,-5.279995793,-9.489021282,-4.586084479
HAT707_34,HAT707,-24.51998046,-49.06255819,-43.32463315
HAT707_35,HAT707,-72.20994246,-75.19307432,-69.30858517
HAT707_36,HAT707,10.49999163,7.198811662,12.8501877
HAT707_37,HAT707,-148.5898816,-154.3462979,-146.0822076
HAT707_38,HAT707,-66.31994716,-72.36232362,-65.77536665
HAT707_39,HAT707,-74.57994057,-82.69956896,-74.77719322
HAT707_40,HAT707,-71.81994277,-71.46368868,-70.02591157
HAT707_41,HAT707,-48.97996097,-51.71165383,-46.56506108
HAT707_42,HAT707,-80.13993614,-85.29003584,-78.33836757
HAT707_43,HAT707,-6.559994773,-8.670494276,-3.888787447
HAT707_44,HAT707,-54.64995645,-58.18738532,-51.71213324
HAT707_45,HAT707,-242.6398067,-247.8593129,-236.4482677
HAT707_46,HAT707,17.3199862,14.10113133,18.74423589
HAT707_47,HAT707,-76.70993888,-101.8680859,-95.80679809
HAT707_48,HAT707,-57.45995422,-62.29454895,-57.06824942
HAT707_49,HAT707,-87.98992989,-91.88090726,-86.74485735
HAT707_50,HAT707,-20.8299834,-28.91545012,-22.12834145
HAT707_51,HAT707,-92.30992645,-118.4402233,-110.2331589
HAT707_52,HAT707,-56.31995512,-64.64457937,-58.56972494
HAT707_53,HAT707,-125.0599004,-159.1867981,-149.1284438
HAT707_54,HAT707,11.70999067,3.885653043,10.52578245
HAT707_55,HAT707,-23.20998151,-30.31137726,-24.12288309
HAT707_56,HAT707,-185.0998525,-225.0436637,-216.9497492
HAT707_57,HAT707,-87.99992988,-127.9198555,-119.1091254
HAT707_58,HAT707,-84.48993268,-126.4389058,-118.8505342
HAT707_59,HAT707,-119.1299051,-180.5859333,-176.5457866
HAT707_60,HAT707,-85.8399316,-107.1776925,-105.1277888
HAT707_61,HAT707,-175.5098602,-241.4860268,-233.3586555
HAT707_62,HAT707,-152.5198785,-194.9691382,-187.9460416
HAT707_63,HAT707,-146.0998836,-198.4643629,-189.9340237
HAT707_64,HAT707,-97.12992261,-165.3998882,-157.0859056
HAT707_65,HAT707,-98.24992171,-194.3097974,-182.3444174
HAT707_66,HAT707,13.30998939,11.19949429,16.37557117
HAT707_67,HAT707,-49.04996092,-50.01680655,-44.29517219
HAT707_68,HAT707,-15.11998795,-13.88864808,-12.07705447
HAT707_69,HAT707,-90.20992812,-87.83102088,-86.94755771
HAT707_70,HAT707,-22.13998236,-19.82822804,-20.59213228
HAT707_71,HAT707,49.43996061,49.93711717,51.32421053
HAT707_72,HAT707,80.59993578,50.22294073,53.17343659
HAT707_73,HAT707,71.08994336,69.66420232,72.18753793
HAT707_74,HAT707,10.32999177,7.350855915,12.99984816
HAT707_75,HAT707,38.87996902,35.47381058,38.67875715
HAT707_76,HAT707,-16.26998704,-16.99686356,-12.47956772
HAT707_77,HAT707,-30.84997542,-83.0483643,-75.4360922
HAT707_78,HAT707,-57.28995435,-61.01709101,-53.8183516
HAT707_79,HAT707,-64.27994878,-68.23217374,-61.61765285
HAT707_80,HAT707,13.82998898,11.31758882,14.59408702
HAT707_81,HAT707,-66.70994685,-71.52792055,-64.45811582
HAT707_82,HAT707,-59.45995262,-63.09474829,-56.84102942
HAT707_83,HAT707,-53.98995698,-58.39156938,-51.87354376
HAT707_84,HAT707,-43.07996567,-50.26165152,-42.54429078
HAT707_85,HAT707,9.329992566,2.679788174,5.951756723
HAT707_86,HAT707,-130.559896,-156.5750514,-148.2282156
HAT707_87,HAT707,-33.38997339,-37.61065847,-30.23814447
HAT707_88,HAT707,-135.519892,-140.9368065,-133.1053567
HAT707_89,HAT707,15.57998759,13.3047952,17.66264024
HAT707_90,HAT707,2.969997634,22.57667335,26.25898096
HAT707_91,HAT707,-1.069999147,-31.86355197,-27.60651489
HAT707_92,HAT707,-68.78994519,-67.49427653,-66.56055044
HAT707_93,HAT707,3.399997291,-3.740634258,1.613733446
HAT707_94,HAT707,8.919992893,-43.0497361,-35.37862815
HAT707_95,HAT707,-48.49996136,-51.78910841,-48.32727979
HAT707_96,HAT707,-40.87996743,-42.70328347,-40.95483459
HAT707_97,HAT707,-97.5199223,-99.0770485,-96.3445255
HAT707_98,HAT707,-20.81998341,-74.47386763,-68.64904141
HAT707_99,HAT707,-22.7199819,-55.74938407,-51.46651396
HAT707_100,HAT707,5.409995689,-21.71185755,-14.03342272
